customer_id,predicted_ltv_12m
16140,369.6294
20589,559.216
36543,432.15225
44809,509.60007
32590,527.4791
45552,368.93604
23917,532.6312
10927,352.41495
33252,491.84436
3075,460.9255
38279,723.6354
29341,587.2727
40959,535.06635
34882,581.14984
32077,451.97205
42125,495.42563
44917,310.9056
35337,485.61548
26316,480.15887
18486,416.0555
16134,497.8025
33721,694.3554
9459,299.20868
36619,566.9687
4077,459.91803
29101,502.08417
24581,458.42044
8357,431.31882
41905,500.3475
9444,281.28525
2548,378.25546
47297,626.59973
47272,325.66547
32143,394.62048
37702,598.3255
12235,956.6592
25505,373.39508
41383,483.98907
27034,802.5832
13926,503.59775
22371,538.772
31247,485.3332
29261,332.27884
34797,526.97687
41069,361.6798
267,641.77124
29842,434.62354
5478,443.46014
37719,485.28333
21861,481.92255
32481,463.52863
27893,365.30566
11014,477.6666
12465,428.3048
30345,438.22675
9877,594.99884
26791,504.73782
36053,530.04083
6166,525.8419
45694,390.10983
7100,412.1085
27040,469.84933
31827,443.27707
13980,427.66904
38668,500.87946
43545,321.33453
6736,623.5437
1227,481.23245
29780,314.57684
42967,377.39978
4955,463.47635
14250,612.94696
36852,479.11447
30478,424.56866
6222,486.68124
853,674.2473
17581,591.4889
44447,507.70306
11256,544.33624
35638,410.495
46230,474.10852
24165,470.34286
39514,481.34283
43956,462.6903
8165,564.8256
30305,448.25522
18809,743.66724
20832,548.57196
19602,340.44336
31183,579.30316
3124,430.90033
47672,739.19244
29572,405.28323
36721,569.54333
25468,455.6288
19741,369.4792
37177,558.0645
46865,515.5006
18410,308.94263
24735,604.3455
30434,358.9063
42568,524.5991
2875,433.14935
37086,406.46262
11948,416.16132
29214,498.65945
29449,532.7707
4669,421.86334
44499,518.0887
25652,475.34912
1271,311.02325
44263,319.66095
9786,699.9445
3002,374.62195
33360,368.06512
39700,506.50836
37068,503.10306
9023,634.2415
24923,687.43866
25245,495.9448
12376,382.13104
39408,657.78265
1323,500.4338
41645,597.1695
16927,496.5983
4291,413.0936
39295,482.1098
26239,487.39636
14784,487.19147
36342,455.26926
47095,688.777
647,425.26727
47417,441.71155
20305,450.34293
26043,611.6234
14355,514.38934
42626,400.28363
22924,601.3989
21227,394.16272
46091,370.97284
27375,576.34717
6049,540.4225
22897,392.0218
42495,532.5839
10992,401.599
36844,517.06665
40400,351.75378
44282,492.1048
4277,469.07336
13637,437.88257
12435,420.49283
19103,391.0911
36319,424.5798
34748,452.91476
22782,283.89252
37031,471.543
27531,298.8393
16796,574.5429
40594,422.51108
1412,468.439
41170,560.553
28239,453.9258
41299,584.8521
28382,373.91727
476,560.0439
39134,666.892
42865,518.17755
30691,502.0971
2678,463.5995
36327,492.43292
19220,678.9585
33433,483.7068
31354,446.88416
7672,544.78033
47353,390.84476
10544,486.90082
31832,403.12848
25808,503.72336
14740,431.30316
36776,560.36127
12727,484.89508
19681,495.10736
32132,476.6554
47112,526.08014
40883,427.04504
31418,403.26996
23381,364.6502
42130,531.47626
13069,390.76294
44595,732.9579
581,425.3535
47256,651.11584
14310,436.07062
11988,406.09906
32452,281.9124
47544,277.75452
38604,563.8713
1106,447.14072
2328,280.8726
33888,435.77292
45122,318.1024
27069,503.69086
35513,429.00897
17967,533.5004
14400,561.436
3997,616.42413
34482,390.1294
15277,433.31104
45869,463.24783
16313,441.3416
1009,679.22736
29824,529.9304
21072,460.78876
8313,433.93692
15382,399.5843
19460,328.7707
3910,469.58582
35633,367.50204
25571,438.19617
46873,486.91196
13993,452.28232
30893,378.74097
13519,398.8713
26381,478.81055
24129,326.3411
11886,439.45428
37733,404.82376
26823,663.9945
24242,505.31863
29120,503.14944
31181,593.14764
29174,404.2442
4903,462.9829
6293,547.9782
25508,436.68045
20302,330.02554
10026,574.2334
8908,382.62152
2758,460.1541
33410,439.89664
48353,524.4117
31534,351.64093
27392,392.14456
30157,585.19916
34903,456.58853
20576,445.79715
31252,438.84607
21347,719.3634
25240,472.3578
40186,598.5688
13473,366.27127
32289,388.63205
36436,475.19583
22500,279.1732
47302,706.4989
41220,426.75122
42401,481.38837
27335,483.27316
38080,576.5655
11846,387.06082
32613,357.83325
45006,443.4099
11751,294.02045
24079,588.64764
34973,540.7789
26005,371.06668
8920,570.0237
19886,500.62537
8860,519.26996
18490,603.3966
16261,494.444
32223,564.99994
20204,405.00378
11878,526.3368
30147,368.6331
3639,515.12225
31229,327.55756
4160,433.5588
29735,484.48584
27191,555.39575
17827,535.82196
48589,446.71912
43179,409.5102
26774,431.89496
46370,450.06387
27795,355.6076
12929,387.2002
33494,573.9507
37714,312.3138
41359,527.5686
1334,365.75867
3110,499.07706
45570,547.5177
7478,271.47864
35445,374.56317
13118,476.33047
21492,570.99005
7578,255.58783
16614,589.59
27372,503.28625
13452,411.8401
43157,556.2985
40391,365.17938
43047,389.8671
14499,357.04517
9955,532.09717
25460,442.3288
1157,581.6647
15727,565.2607
14836,469.19418
29213,438.6712
23728,614.3758
29081,590.5204
44968,394.57126
35178,435.92184
5869,404.7098
14786,438.89703
4593,423.6909
5174,532.5351
24206,456.6254
5553,496.88284
14889,544.90704
7503,565.17944
32951,523.06604
31206,497.193
38404,502.51376
24296,358.36597
14580,433.04626
47031,541.3028
40301,688.1711
1793,475.48975
47486,376.66467
28448,448.54837
34123,835.01117
20574,424.50616
23409,548.52374
35647,440.3714
7475,341.19052
40207,498.99026
15054,476.767
42228,483.99554
38807,534.1117
29609,499.39334
23448,440.66656
40999,286.66183
12488,406.01096
34858,356.01663
27552,449.86197
29634,493.74496
19214,481.33502
31256,469.55597
29034,361.39423
24769,411.6112
2098,527.7188
24787,319.90094
41748,421.09036
11847,518.5074
3007,423.69897
29144,242.06122
18370,365.949
39585,344.5448
9064,452.37723
9988,342.52835
30007,482.31094
918,285.01044
20903,503.4243
1003,486.21542
2399,430.51147
16290,379.05347
27658,442.24023
11729,495.03094
36476,404.08752
7908,274.74966
44372,516.1192
11461,297.53888
34292,482.36557
28316,318.65582
32944,548.289
26820,442.71646
12928,471.27698
41084,366.16394
686,544.80115
2902,528.295
20487,460.54724
31609,405.4745
48411,594.6432
41097,471.73254
18236,515.83887
1000,439.0248
3445,458.23383
31602,337.90274
13972,466.13614
45937,425.09863
41303,368.0563
22270,515.98706
42040,475.2274
28313,391.70706
3715,399.90915
27150,793.37115
33441,480.40213
45470,462.82874
16111,491.37762
4181,444.46756
28139,378.05115
18172,434.58926
430,524.38434
1991,549.20496
47227,291.42056
34771,389.91687
22498,671.71643
43080,456.55994
47173,405.53244
12609,518.82184
6561,463.96585
42396,406.74133
6275,492.4642
19113,458.18436
30701,455.49298
3298,409.64548
14092,559.8759
5582,509.84286
5179,431.98312
24856,396.92395
2054,507.9207
13700,564.6408
5879,304.05682
655,400.44745
266,430.5724
45949,504.10016
4203,418.15747
47902,478.37445
22826,805.69794
35734,443.04706
960,487.30322
40467,570.393
38773,438.91486
20899,346.53897
20295,749.5138
34013,826.0625
11832,469.25385
15127,386.14853
10436,429.8252
36666,412.13785
23273,336.04266
13970,436.6527
4410,519.0616
43667,493.69803
21670,223.25699
46211,279.47018
15420,595.2746
7879,447.34955
32971,479.37967
24978,475.72882
913,541.2674
38182,332.11203
4108,349.7553
2601,522.75824
28959,421.85468
44622,544.3911
26033,416.63324
26620,553.65985
23517,649.90424
20392,427.12668
39682,645.54913
1984,555.31006
1911,683.0114
6178,588.7258
44604,463.42188
43274,518.9589
31812,493.65274
39419,521.3341
44421,389.3426
45638,512.9
17887,468.40186
42226,442.1143
9806,511.021
36899,477.1312
23014,499.26453
9072,649.8323
32755,551.83136
6702,607.7371
29598,458.1942
45649,384.6219
22709,513.5056
42242,460.01672
10669,424.9282
6911,428.3523
40143,413.267
13022,517.1403
25845,515.9959
482,512.8657
22346,555.73517
2432,493.48837
39048,479.20905
3829,474.19666
8091,498.01205
22077,450.85352
28005,436.08398
4540,404.86267
9694,513.4735
1698,457.56577
19603,609.9815
35104,693.24023
5218,474.30112
3863,317.94342
47168,444.96255
39503,415.01297
24023,365.28906
16441,376.80896
1603,423.9526
35226,421.95428
36211,574.6719
28973,479.03665
10504,517.8338
41879,482.0695
40066,381.3299
39371,442.0171
45336,451.82584
18980,395.1761
17457,517.3998
39997,598.8939
12423,366.3832
10629,591.03253
41173,432.4171
8812,464.55154
1888,518.2976
17049,443.16376
24677,385.74686
31662,574.1188
25101,492.2125
26830,507.70862
35563,626.57104
33792,514.29083
40494,309.7216
2525,395.59207
15269,460.87793
24706,486.2131
9159,312.02664
13911,331.47617
28655,278.14185
19341,872.7487
40035,373.18018
1185,652.1848
29042,434.19003
10955,530.98645
12783,611.6462
4524,446.58057
41454,332.92438
45480,459.83936
23,449.36862
28632,467.19586
10999,433.9917
15837,495.84906
33490,481.9276
40954,524.70184
34014,425.74377
40529,331.70706
31254,808.91705
38036,409.99414
4592,349.5152
17050,435.44043
27732,549.0174
28416,439.87393
13867,389.49133
27565,421.20932
29624,359.77008
37655,328.27982
17141,480.27454
25065,644.9427
33502,378.6988
23994,557.4104
30491,609.3057
9902,490.90967
47187,453.25665
14486,353.18237
25503,408.66815
39128,489.5974
4738,474.984
15978,467.30884
3378,419.06262
25778,349.97397
12628,540.19434
37467,472.52283
39907,461.24036
42206,661.21655
28650,502.9579
10764,466.21167
41104,361.47858
39768,430.444
16501,350.42108
6048,531.74646
33242,332.38455
34902,344.2306
273,387.90237
21013,507.35266
30637,437.94534
3923,491.0995
27931,344.19815
30060,454.49277
22874,358.59686
17267,494.04797
39911,443.80554
42986,494.02036
37896,394.6765
27298,443.51633
42456,376.9441
47844,376.6119
17714,545.5405
44123,512.09564
6314,586.3612
33632,476.9019
45133,451.2305
12994,407.1068
42894,300.2414
41281,644.4913
12949,584.8348
6167,369.79166
19543,515.8951
36671,458.0622
18148,392.67432
21092,381.60583
19632,465.02817
23364,454.69067
5604,529.5511
40729,505.64105
15274,610.3158
27210,386.58575
130,560.4641
19546,533.04083
6184,502.63116
35530,506.39658
26518,475.94482
34047,437.37723
40618,329.82846
45348,506.65042
39118,548.00385
31763,426.75693
48109,581.82587
9632,612.93463
39262,411.19214
37796,433.89752
22245,407.12784
31642,496.1894
45371,478.21674
34494,405.36963
17483,348.9761
33514,448.06375
14881,370.74835
31919,388.4903
32751,325.57593
28676,478.45834
35483,298.87616
35793,437.13504
31004,533.1277
17002,500.41898
312,470.21252
19671,529.48785
2729,632.72095
7682,551.39606
38214,408.2556
11550,578.62286
15311,359.826
17277,444.6845
39687,513.66956
43707,688.4452
38127,417.52655
46844,370.4767
47833,526.00073
3939,516.4601
17212,396.5632
35097,504.95035
27161,473.40152
28813,438.43686
10945,415.30963
20676,490.4286
31421,391.84097
38072,617.954
20516,393.55402
44152,527.297
17293,265.65625
18461,495.46967
17090,399.09674
35300,417.9772
1878,313.48865
17896,568.6924
12103,568.9516
4759,688.92175
45145,567.852
9266,375.46848
21503,400.30945
28025,380.72858
35885,417.07834
38583,554.9794
22008,426.11615
48527,319.72195
36832,504.53915
24993,498.0192
24114,481.54895
38816,381.55145
25932,336.95724
7469,425.7615
13858,400.58606
22051,388.6155
2008,368.8161
34358,366.55963
42143,382.2394
22905,415.31796
42855,425.41895
8372,465.7514
8180,585.64575
43657,373.89902
7760,384.16632
47641,697.45056
47564,645.8408
14169,564.8615
34967,583.4241
12114,524.24634
44837,597.5775
9410,480.70294
45389,626.5498
28580,439.90903
32950,590.9323
42999,432.80252
19463,460.8623
35594,492.50565
13278,561.1571
37803,444.86877
48458,447.33673
15384,434.19397
5923,415.20862
7751,483.02777
5684,458.16595
22982,523.90405
22830,346.50964
2299,512.95807
32209,357.06717
2115,664.8268
23539,404.9242
32034,667.9231
33890,700.08057
10936,447.86807
42493,426.7561
48058,467.60568
4508,434.49207
17418,627.49457
38221,393.12585
32085,731.2806
38298,540.9954
12498,450.36145
9725,530.96436
29586,557.2475
44539,461.1963
7822,599.7985
2476,320.43542
25926,368.03467
1555,501.09726
33657,487.03275
19663,355.14453
40611,540.8523
41412,546.7119
41758,511.05444
27756,580.93085
25961,487.60764
15118,458.6961
11789,612.2196
27057,390.59427
6006,546.66986
36874,554.95685
4707,481.318
43202,435.48163
10823,507.58444
927,459.6414
41338,279.14514
23719,456.68192
39059,236.78352
7180,261.73
26743,453.02365
26307,306.12854
45536,464.62814
48532,776.82556
44320,531.3813
42248,500.60144
2296,452.59692
18806,376.53162
11836,453.27335
17444,392.79202
31908,521.4263
35649,384.57648
29228,361.59317
37348,378.33972
11547,564.572
6329,339.43298
43977,439.55133
28897,503.413
44406,621.2616
4191,473.41376
42937,221.26389
8370,628.08887
40680,477.6342
35499,545.9675
32401,375.13077
10286,441.76517
41018,411.60413
2615,438.94403
10064,386.27316
32822,440.64526
24878,347.52954
28679,477.53308
18685,469.43866
28660,387.52277
1732,410.85913
28339,426.75244
48278,451.21756
41491,456.81747
14173,371.42346
19489,434.8307
4107,558.1458
43403,440.9284
19662,420.88974
2624,490.75842
23260,436.21613
14495,434.3706
5523,661.2099
28728,538.5136
26354,407.25885
44987,437.93698
14631,511.2789
9647,645.4597
23961,426.59644
35933,477.3403
4339,659.0835
6367,373.55435
20821,537.8359
42518,413.45294
17990,446.44656
2982,510.27567
30853,374.13007
35265,334.57196
30170,457.82672
35799,344.08804
1593,308.2429
3777,424.80493
38948,520.046
6502,500.65167
43830,486.2231
35708,504.42587
8161,467.85983
19353,462.66953
44066,474.49857
47389,416.23694
25440,351.08026
10814,337.0404
37542,356.1721
24439,515.69794
8869,413.63635
45716,387.88867
37358,466.12656
9561,517.6633
7609,667.7104
42072,537.7897
26842,405.08588
45363,403.5071
36346,557.8945
25035,577.4067
18590,384.3017
37615,502.8817
29067,384.71442
25893,356.57748
3502,396.58102
8494,422.2341
36138,513.8114
33858,482.3423
30374,347.79507
24587,311.73242
10499,545.16486
6671,484.64862
48389,569.1993
14614,331.6046
1558,507.50757
24919,544.7392
7981,438.31577
40945,427.93384
62,402.3003
3611,474.67273
6623,494.6926
46483,536.4551
16247,448.67896
20696,438.43225
27229,408.46722
19429,532.3707
44688,476.11795
23256,522.17914
30246,446.54514
3500,397.55725
15421,412.7642
1295,415.56995
9846,369.08353
17690,339.49078
12966,531.5443
32114,424.24976
44735,438.26486
9584,471.06238
